Date,NAV per unit
2024-08-01,0.970154595
2024-08-02,0.969961363
2024-08-03,0.968744104
2024-08-04,0.965963866
2024-08-05,0.967296299
2024-08-06,0.966860181
2024-08-07,0.967715663
2024-08-08,0.9690109
2024-08-09,0.970161238
2024-08-10,0.97077224
2024-08-11,0.971849317
2024-08-12,0.97266927
2024-08-13,0.973898552
2024-08-14,0.974372298
2024-08-15,0.975559401
2024-08-16,0.977213995
2024-08-17,0.977016724
2024-08-18,0.978296108
2024-08-19,0.979272733
2024-08-20,0.979857771
2024-08-21,0.979151364
2024-08-22,0.979287883
2024-08-23,0.976394809
2024-08-24,0.974549847
2024-08-25,0.976324282
2024-08-26,0.977762578
2024-08-27,0.977563411
2024-08-28,0.980684475
2024-08-29,0.976504347
2024-08-30,0.976391195
2024-08-31,0.97532716
2024-09-01,0.975265276
2024-09-02,0.974783646
2024-09-03,0.973265591
2024-09-04,0.977109834
2024-09-05,0.976400905
2024-09-06,0.977150981
2024-09-07,0.976572359
2024-09-08,0.976855728
2024-09-09,0.976131185
2024-09-10,0.975964264
2024-09-11,0.975995803
2024-09-12,0.974977198
2024-09-13,0.973919314
2024-09-14,0.973558863
2024-09-15,0.97280026
2024-09-16,0.974330925
2024-09-17,0.973716492
2024-09-18,0.972041172
2024-09-19,0.969982601
2024-09-20,0.969363957
2024-09-21,0.968685382
2024-09-22,0.969715346
2024-09-23,0.968631399
2024-09-24,0.969063582
2024-09-25,0.968594994
2024-09-26,0.969392121
2024-09-27,0.968522802
2024-09-28,0.96831
2024-09-29,0.969310723
2024-09-30,0.968963957
2024-10-01,0.968219414
2024-10-02,0.967005929
2024-10-03,0.966884372
2024-10-04,0.963804992
2024-10-05,0.962844273
2024-10-06,0.962817401
2024-10-07,0.963038494
2024-10-08,0.962086983
2024-10-09,0.961064004
2024-10-10,0.960918459
2024-10-11,0.959854783
2024-10-12,0.960967571
2024-10-13,0.960006515
2024-10-14,0.960575556
2024-10-15,0.961297438
2024-10-16,0.957998102
2024-10-17,0.958364678
2024-10-18,0.957271264
2024-10-19,0.956702021
2024-10-20,0.95728147
2024-10-21,0.95684766
2024-10-22,0.959087409
2024-10-23,0.958250589
2024-10-24,0.962857031
2024-10-25,0.964085313
2024-10-26,0.964314289
2024-10-27,0.964326874
2024-10-28,0.963397611
2024-10-29,0.965741977
2024-10-30,0.966420687
2024-10-31,0.967531862
2024-11-01,0.966290348
2024-11-02,0.966209979
2024-11-03,0.967007252
2024-11-04,0.969028954
2024-11-05,0.969821
2024-11-06,0.969040708
2024-11-07,0.968152654
2024-11-08,0.969872781
2024-11-09,0.970252236
2024-11-10,0.974231809
2024-11-11,0.979188686
2024-11-12,0.9826455
2024-11-13,0.988940559
2024-11-14,0.996315304
2024-11-15,0.996413338
2024-11-16,0.994970968
2024-11-17,0.997650209
2024-11-18,0.997914183
2024-11-19,1.0015996
2024-11-20,1.005141074
2024-11-21,1.007952019
2024-11-22,1.011287216
2024-11-23,1.009141806
2024-11-24,1.007218784
2024-11-25,1.009748935
2024-11-26,1.011459927
2024-11-27,1.016983397
2024-11-28,1.019429814
2024-11-29,1.020638525
2024-11-30,1.022556583
2024-12-01,1.02451202
2024-12-02,1.024848092
2024-12-03,1.026932465
2024-12-04,1.03557919
2024-12-05,1.037599338
2024-12-06,1.042425649
2024-12-07,1.04498191
2024-12-08,1.045407272
2024-12-09,1.044876707
2024-12-10,1.045202421
2024-12-11,1.045807445
2024-12-12,1.044693378
2024-12-13,1.045568523
2024-12-14,1.046845221
2024-12-15,1.047881831
2024-12-16,1.048636712
2024-12-17,1.049959804
2024-12-18,1.052103731
2024-12-19,1.052641597
2024-12-20,1.053120233
2024-12-21,1.055835064
2024-12-22,1.053511116
2024-12-23,1.054324085
2024-12-24,1.050423085
2024-12-25,1.044587961
2024-12-26,1.046816024
2024-12-27,1.04665
2024-12-28,1.047446125
2024-12-29,1.047446125
2024-12-30,1.047446125
2024-12-31,1.047446125
2025-01-01,1.047446125
2025-01-02,1.047446125
2025-01-03,1.047446125
2025-01-04,1.047446125
2025-01-05,1.047446125
2025-01-06,1.047446125
2025-01-07,1.049086816
2025-01-08,1.049941051
2025-01-09,1.04805118
2025-01-10,1.050640143
2025-01-11,1.049648774
